course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
MUS 100,Selected Topics - Major Performance Organization,1,,,"Audition required except for Concert Band (A), Orchestra at the Beach (I), and ConChord Choir (E)",
MUS 120A,Class Piano,1,,,MUS 142A,MUS 142A
MUS 120B,Class Piano,1,,,Music majors or minors only,
MUS 125,Selected Topics - Instrument Methods,1,,,Music Education Majors only,
MUS 126,Selected Topics - Methods Lab,1,,,Music Education majors only,MUS 125H
MUS 130,Opera,1,,,Consent of instructor,
MUS 141A,Musicianship I,2,,,Music majors or minors only,MUS 142A
MUS 141B,Musicianship II,2,,,MUS 141A with a “C” grade or better or satisfactory score on theory placement test,MUS 142B
MUS 142A,Harmony I,3,,,Music majors or minors only,MUS 141A
MUS 142B,Harmony II,3,,,MUS 141A with a “C” grade or better and MUS 142A with a “C” grade or better or satisfactory score in theory placement test,MUS 141B
MUS 190,Listener’s Approach to Music,3,,,,ENGL 100B or GE English Communication (Area 1A) or another GE Foundation course
MUS 191A,Western Art Music I: Antiquity to Beethoven,3,,,,One GE Foundation course
MUS 191B,Western Art Music II: Beethoven to Present,3,,,MUS 191A with a “C” or better,One GE Foundation course
MUS 200,Selected Topics - Chamber Music,1,,,"Audition required except for Cantus (Tenor/Bass Voices) (I), and Laptop Ensemble (W)",
MUS 220A,Class Piano,1,,,Music majors or minors only,
MUS 220B,Class Piano,1,,,Music majors or minors only,
MUS 221A,Class Jazz Piano I,1,,,"Music majors, or consent of instructor",
MUS 221B,Class Jazz Piano II,1,,,"MUS 221A , Music majors, or consent of instructor",
MUS 224,Orchestral Literature: Performance and Styles,1,,,Music majors or minors only,
MUS 225,Explorations in Teaching Music,3,,,,One GE Foundation course
MUS 240,Advanced Musicianship,2,,,MUS 141B and MUS 142B or satisfactory score on theory placement test,
MUS 244,Composition Workshop,2,,,,MUS 140 or MUS 141A or MUS 141B
MUS 272A,Jazz Theory I,2,,,MUS 142B or consent of instructor,
MUS 272B,Jazz Theory II,2,,,MUS 272A or consent of instructor,
MUS 273A,Diction for Singers,2,,,Music majors only,
MUS 273B,French Diction for Singers,1,,,MUS 273A,
MUS 273C,German Diction for Singers,1,,,MUS 273A,
MUS 277,Keyboard Skills,2,,,Music majors or minors only,
MUS 290,Popular Music in America,3,,,,One GE foundation course
MUS 293,History and Appreciation of Jazz,3,,,One GE Foundation Course,One GE Foundation Course
MUS 300,Selected Topics - Major Performance Organization,1,,,"Audition required except for Concert Band (A), Orchestra at the Beach (I), and ConChord Choir (E)",
MUS 323,Junior Recital,1,,,Music major only; Upper division standing,MUS 429 or consent of instructor
MUS 326,Conducting,2,,,BM Performance or BM Composition major; MUS 141B and MUS 142B,
MUS 329,Selected Topics - Individual Instruction for Music Majors,1,,,Successful completion of Upper-Division Screening Exam on applied instrument or voice,
MUS 330,Opera,1,,,Consent of instructor,
MUS 332,Opera Coaching,1,,,Consent of instructor,MUS 330
MUS 341,Musical Form and Analysis,3,,,"MUS 141B with a “C” grade or better and MUS 142B with a “C” grade or better, or consent of instructor",
